"Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Verdict","Origin"
"Audi","TT Roadster","TT 2.0 TFSI 211 quattro Roadster S line 2011 2d","Petrol",34120,4,1984,"4WD",211,258,5.8,149,38,1405,4178,1842,1358,"optional","standard","standard","standard","optional","standard","optional","optional","standard","optional","standard","optional","standard",8,"Europe"
"Bentley","Continental","Continental GT 6.0 W12 575 GT 2d","Petrol",137760,12,5998,"4WD",575,516,4.4,198,17,2320,4806,1944,1404,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Bentley","Continental GTC","Continental GT 4.0 V8 500 GTC 2d","Petrol",136250,8,3993,"4WD",500,487,4.7,187,25,2470,4806,1920,1403,"standard","standard","standard","standard","no","standard","no","standard","standard","standard","standard","no","standard",8,"Europe"
"Bentley","Flying Spur","Flying Spur 6.0 W12","Petrol",133200,12,5998,"Rear",556,479,4.9,195,17,2475,5290,1920,1475,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Bentley","Mulsanne","Mulsanne 6.75 V8 Standard 4d","Petrol",226955,8,6750,"Rear",512,752,5.1,184,16,2585,5562,1926,1526,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"BMW","1 Series","118d SE 5d","Diesel",22240,4,1995,"Rear",143,236,8.9,132,62,1395,4324,1765,1421,"optional","standard","no/optional","optional","standard","standard","no","no","optional","optional","standard","optional","standard",7,"Europe"
"BMW","1 Series Convertible","120d SE Convertible 2d","Diesel",27990,4,1995,"Rear",173,258,8.1,138,56,1585,4360,1748,1411,"no","standard","standard","optional","optional","standard","optional","optional","optional","standard","standard","optional","standard",6,"Europe"
"BMW","1 Series Coupe","120i M Sport Coupe 2d","Petrol",25975,4,1995,"Rear",170,154,7.8,139,43,1375,4360,1748,1423,"optional","standard","standard","optional","optional","standard","optional","optional","optional","standard","standard","optional","standard",8,"Europe"
"BMW","3 Series","328i Luxury 4d 2012","Petrol",31560,4,1997,"Rear",245,258,5.9,155,44,1430,4624,1811,1429,"standard","standard","no/optional","optional","standard","standard","standard","optional","standard","standard","standard","optional","standard",9,"Europe"
"BMW","3 Series Convertible","325i M Sport 2d Convertible","Petrol",39075,6,2996,"Rear",218,199,7.6,152,37,1730,4580,1782,1384,"no","standard","standard","optional","optional","standard","standard","standard","standard","standard","standard","optional","standard",7,"Europe"
"BMW","4 Series Coupe","428i Luxury 2d","Petrol",35095,4,1997,"Rear",245,258,5.9,155,42,1525,4638,1825,1362,"standard","standard","no/optional","optional","standard","standard","standard","optional","standard","standard","standard","standard","standard",8,"Europe"
"BMW","6 Series","640i M Sport 2d Coupe","Petrol",64230,6,2979,"Rear",320,331,5.4,155,36,1735,4894,1894,1369,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Europe"
"BMW","6 Series Convertible","640i M Sport 2d Convertible","Petrol",70110,6,2979,"Rear",320,331,5.7,155,35,1915,4894,1894,1365,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Europe"
"BMW","6 Series Gran Coupe","640d Gran Coupe 3.0d 313 SE 4d","Diesel",63895,6,2993,"Rear",313,464,5.4,155,50,1865,5007,1894,1392,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"BMW","7 Series","750i Standard 4d","Petrol",71340,8,4395,"Rear",449,479,4.8,155,32,2015,5079,1902,1471,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"BMW","i3","i3 EV Range Extender 5d","Petrol",33830,2,647,"Rear",170,184,7.9,93,470,1315,3999,1775,1578,"no","standard","no/optional","standard","standard","standard","standard","no","optional","optional","standard","standard","standard",8,"Europe"
"BMW","M3","M3 4.0 V8 2010 2d Convertible","Petrol",58640,8,3999,"Rear",420,295,5.3,155,22,1885,4615,1804,1392,"no","standard","standard","optional","optional","standard","standard","standard","standard","standard","standard","optional","standard",8,"Europe"
"BMW","M6","M6 4.4 V8 TT 2d Coupe","Petrol",93820,8,4395,"Rear",560,501,4.2,155,28,NA,4898,1899,1368,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no",7,"Europe"
"BMW","X1","X1 sDrive20d xLine 5d","Diesel",28090,4,1995,"Rear",184,280,7.8,136,57,NA,4477,1798,1545,"no","standard","no/optional","optional","standard","standard","optional","optional","standard","standard","standard","optional","standard",7,"Europe"
"BMW","X3","X3 xDrive20d M Sport 2010 5d","Diesel",33830,4,1995,"4WD",184,280,8.5,130,50,1790,4648,1881,1675,"no","standard","standard","optional","optional","standard","standard","no","standard","standard","standard","optional","standard",7,"Europe"
"BMW","X5","X5 xDrive50i SE 5d","Petrol",60020,8,4395,"4WD",449,479,5,155,27,2175,4896,1938,1762,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"BMW","X6","X6 xDrive50i 5d","Petrol",57910,8,4395,"4WD",408,442,5.4,149,22,2265,4877,1983,1690,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard",4,"Europe"
"BMW","Z4","Z4 sDrive28i M Sport 2d","Petrol",36810,4,1997,"Rear",245,258,5.7,155,41,1490,4239,1790,1291,"no","standard","no/optional","optional","optional","no","optional","optional","standard","optional","standard","optional","standard",5,"Europe"
"Bugatti","Veyron","Veyron 8.0 W16 Grand Sport 2d","Petrol",1139985,16,7993,"4WD",987,922,2.5,252,10,1990,4462,1998,1204,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Caterham","CSR","CSR 2.3 260 260","Petrol",44995,4,2261,"Rear",260,200,3.1,155,NA,575,3300,1685,1140,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no",7,"Europe"
"Caterham","Super 7","Seven 1.6 125 Roadsport 2d","Petrol",22995,4,1596,"Rear",125,120,5.9,112,NA,550,3380,1575,1115,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no",8,"Europe"
"Chevrolet","Aveo","Aveo 1.3 VCDi 75 LT 5d 2012","Diesel",12585,4,1248,"Front",75,140,14.1,101,74,1172,4039,1735,1517,"no","standard","no/optional","no","standard","no","standard","no","no","no","standard","no","standard",5,"USA"
"Chevrolet","Camaro","Camaro 6.2 V8 Standard 2d Convertible","Petrol",39995,8,6162,"Rear",432,419,5.6,155,20,1890,4836,1918,1376,"no","no","no/optional","optional","no","standard","no","no","no","no","no","no","standard",6,"USA"
"Chevrolet","Captiva","Captiva 2.2 VCDi 184 4WD LT 5d","Petrol",27695,4,2231,"4WD",184,295,9.3,124,42,1855,4675,1850,1725,"standard","no","standard","optional","standard","standard","standard","no","no","standard","standard","no","standard",4,"USA"
"Chevrolet","Cruze","Cruze 2.0 VCDi LS 4d","Diesel",16670,4,1991,"Front",125,221,10.3,122,51,1427,4597,1788,1477,"no","standard","standard","no","no","no","no","no","no","standard","standard","no","standard",4,"USA"
"Chevrolet","Orlando","Orlando 2.0 VCDi 130 LT 5d","Diesel",18645,4,1998,"Front",130,232,9.9,121,47,1655,4652,1836,1633,"no","standard","standard","no","no","standard","no","no","no","standard","standard","no","standard",6,"USA"
"Chevrolet","Spark","Spark 1.2 LS 5d","Petrol",9595,4,1206,"Front",81,81,12.1,102,55,864,3640,1597,1522,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","optional",5,"USA"
"Chevrolet","Volt","Volt 1.4 EREV Standard 5d","Petrol",35255,4,1398,"Front",86,272,9,99,235,1732,4498,1787,1439,"no","no","standard","standard","standard","standard","no","no","standard","standard","standard","no","standard",7,"USA"
"Chrysler","300C","300C 3.0 CRD Executive 4d","Diesel",39995,6,2998,"Rear",236,399,7.4,144,39,2117,5066,1902,1488,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"USA"
"Chrysler","Delta","Delta 1.4 M-Air 140 SE 5d","Petrol",17995,4,1368,"Front",140,170,9.2,126,49,1395,4520,1797,1497,"optional","standard","standard","no","optional","optional","optional","no","optional","optional","standard","optional","standard",5,"USA"
"Chrysler","Grand Voyager","Grand Voyager 2.8 CRD SR 5d","Diesel",30245,4,2777,"Front",178,265,12.8,115,35,2305,5218,1998,1818,"no","no","standard","no","standard","standard","standard","standard","no","standard","standard","optional","standard",5,"USA"
"Chrysler","Ypsilon","Ypsilon 1.2 SE 5d","Petrol",11995,4,1242,"Front",69,75,14,101,57,965,3842,1676,1520,"no","no","no/optional","no","optional","optional","optional","no","no","optional","standard","no","optional",6,"USA"
"Citroen","C1","C1 1.0 68 VTR 3d","Petrol",8995,3,998,NA,68,70,14.2,100,65,NA,NA,NA,NA,"no","no","no/optional","no","optional","no","no","no","no","no","no","no","optional",7,"Europe"
"Citroen","C3","C3 1.4 HDi 70 VTR+ 5d","Diesel",14590,4,1398,"Front",70,118,13.5,101,74,1145,3941,1728,1524,"no","standard","no/optional","no","standard","no","no","no","no","no","standard","optional","optional",6,"Europe"
"Citroen","C3 Picasso","C3 Picasso 1.6 HDi 90 VTR+ 5d","Diesel",15395,4,1560,"Front",90,169,13.5,108,62,1329,4078,1766,1631,"optional","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","no",7,"Europe"
"Citroen","C4","C4 1.6 HDi 110 VTR+ 5d","Diesel",19045,4,1560,"Front",110,199,11.3,118,61,1440,4329,1789,1491,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","optional","standard",5,"Europe"
"Citroen","C4 Picasso","C4 Picasso 1.6 e-HDi 115 Airdream VTR+ 5d","Diesel",20255,4,1560,"Front",115,199,11.8,117,70,1298,4428,1826,1610,"standard","no","no/optional","optional","standard","standard","no","no","no","standard","no","optional","standard",7,"Europe"
"Citroen","C5","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 4d","Diesel",22195,4,1560,"Front",110,199,12.6,118,61,1525,4779,1860,1451,"standard","no","standard","standard","standard","standard","standard","optional","optional","optional","no","standard","standard",6,"Europe"
"Citroen","C5 Tourer","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 5d Tourer","Diesel",23295,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"no","no","no/optional","standard","no","no","no","optional","optional","no","no","no","standard",8,"Europe"
"Citroen","DS3","DS3 1.6 THP 155 DSport 3d","Petrol",17050,4,1598,"Front",115,177,7.3,133,47,1223,3948,1715,1483,"no","standard","standard","no","no","standard","standard","no","no","no","standard","no","standard",8,"Europe"
"Citroen","DS4","DS4 1.6 THP 155 EGS6 DStyle 5d","Petrol",21450,4,1598,"Front",155,177,9.9,133,43,1420,4275,1810,1523,"standard","standard","standard","standard","standard","standard","standard","no","optional","standard","standard","optional","standard",6,"Europe"
"Citroen","DS5","DS5 2.0 HDi Hybrid4 200 Airdream DSign 5d","Diesel",27600,4,1997,"4WD",200,221,8.3,131,80,1856,4530,1871,1539,"standard","standard","standard","standard","standard","standard","standard","optional","optional","optional","standard","optional","standard",6,"Europe"
"Corvette","C6","6.2 V8 Convertible LHD","Petrol",68462,8,6162,"Rear",437,424,4.3,186,21,1460,4435,1844,1246,"no","no","standard","optional","no","standard","standard","standard","standard","no","standard","optional","standard",7,"USA"
"Dacia","Duster","Duster 1.5 dCi 110 4x2 Ambiance 5d","Diesel",11495,4,1461,"Front",110,177,11.8,106,56,1205,4315,1822,1695,"no","no","no/optional","no","standard","no","no","no","no","no","standard","no","optional",6,"Europe"
"Dacia","Sandero","Sandero 1.2 75 Laureate 5d","Petrol",7995,4,1149,"Front",75,78,14.5,97,47,941,4058,1732,1518,"no","no","no/optional","no","optional","no","standard","no","optional","optional","standard","optional","standard",6,"Europe"
"Ferrari","458","458 Italia 4.5 V8 Spider 2d","Petrol",198936,8,4499,"Rear",562,398,3.4,198,21,1430,4527,1937,1211,"no","standard","standard","standard","standard","standard","optional","optional","standard","optional","standard","optional","standard",10,"Europe"
"Ferrari","California","California 4.3 V8 30 2d","Petrol",152116,8,4297,"Rear",490,369,3.8,194,21,1600,NA,NA,NA,"standard","standard","standard","no","standard","standard","optional","standard","standard","standard","standard","standard","standard",7,"Europe"
"Ferrari","F12","F12 6.3 V12 berlinetta 2d","Petrol",239317,12,6262,"Rear",740,508,3.1,211,18,NA,4618,1942,1273,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Ferrari","FF","FF 6.3 V12 4d","Petrol",227107,12,6262,"4WD",660,503,3.7,208,18,1790,4905,1955,1380,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",NA,"Europe"
"Fiat","500","500 1.3 MultiJet 95 Pop 3d","Petrol",12300,4,1248,"Front",95,150,11.7,111,72,980,3546,1627,1488,"no","no","no/optional","no","optional","optional","no","no","optional","optional","standard","no","optional",7,"Europe"
"Fiat","500 Abarth","Abarth 500 1.4 T-Jet 160 595 Turismo 3d","Petrol",17725,4,1368,"Front",160,169,7.4,131,43,1075,3660,1630,1490,"no","no","no/optional","optional","standard","optional","no","no","optional","standard","standard","optional","standard",7,"Europe"
"Fiat","500L","500L 0.9 TwinAir 105 Easy 5d","Petrol",16490,2,875,"Front",105,106,12.3,112,58,1260,4147,1784,1667,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","no","standard",7,"Europe"
"Fiat","Bravo","Bravo Series 2 1.4 MultiAir 140 Easy 5d","Petrol",17300,4,1368,"Front",140,169,8.9,126,49,1275,4336,1792,1498,"optional","standard","no/optional","no","standard","optional","optional","no","optional","optional","standard","no","standard",5,"Europe"
"Fiat","Doblo","Doblo 1.6 MultiJet 105 Active 2010 5d","Diesel",15700,4,1598,"Front",105,213,13.4,102,54,1410,4390,1832,1845,"no","standard","no/optional","no","no","no","no","no","no","no","standard","no","standard",4,"Europe"
"Fiat","Panda","Panda 0.9 TwinAir 85 Lounge 5d","Petrol",11250,2,875,"Front",85,106,11.2,110,67,1050,3653,1643,1551,"no","no","no/optional","optional","optional","optional","no","no","no","optional","standard","optional","optional",8,"Europe"
"Fiat","Punto Evo","Punto 1.4 MultiAir Abarth 3d","Petrol",17495,4,1368,"Front",165,184,7.9,132,47,1100,4064,1726,1490,"no","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","standard",5,"Europe"
"Ford","B-Max","B-Max 1.5 TDCi 75 Zetec 5d","Diesel",16995,4,1496,"Front",75,140,16.5,98,68,NA,NA,NA,NA,"no","standard","standard","no","standard","no","no","no","no","optional","standard","no","standard",7,"USA"
"Ford","C-Max","C-Max 1.6 TDCi 115 Titanium 5d","Diesel",20695,4,1560,"Front",115,199,11.3,114,61,1390,4380,1828,1626,"standard","standard","standard","no","standard","standard","standard","no","no","optional","standard","optional","standard",6,"USA"
"Ford","Fiesta","Fiesta 1.0 80 Titanium 5d","Petrol",14845,3,999,"Front",80,77,14.9,103,65,1045,3969,1722,1468,"standard","standard","standard","no","optional","standard","standard","no","optional","optional","standard","no","standard",8,"USA"
"Ford","Focus","Focus 2.0 TDCi 140 Zetec 2011 5d","Diesel",19895,4,1997,"Front",140,236,8.9,129,56,1421,4358,1823,1484,"no","standard","standard","optional","standard","no","no","no","no","optional","standard","optional","standard",7,"USA"
"Ford","Focus Estate","Focus 2.0 TDCi 140 Zetec 2011 5d Est","Diesel",20995,4,1997,"Front",140,236,9.1,129,56,1460,4556,1823,1505,"no","standard","standard","optional","standard","no","no","no","no","optional","standard","optional","standard",7,"USA"
"Ford","Focus ST","Focus 2.0T 250 ST 5d Est","Petrol",23095,4,1999,"Front",250,250,6.5,154,39,1386,4566,1823,1505,"no","standard","standard","no","no","no","no","no","no","no","standard","no","standard",9,"USA"
"Ford","Galaxy","Galaxy 2.0 TDCi 163 Titanium 2010 5d","Diesel",27445,4,1997,"Front",163,250,9.5,126,49,1733,4820,1884,1764,"standard","standard","standard","optional","standard","standard","standard","optional","optional","standard","standard","optional","standard",7,"USA"
"Ford","Kuga","Kuga 2.0 TDCi 140 FWD Titanium X 5d","Diesel",26795,4,1997,"Front",140,250,10.6,118,53,NA,4524,1838,1702,"standard","standard","standard","no","standard","standard","standard","standard","standard","optional","standard","optional","standard",7,"USA"
"Ford","Mondeo","Mondeo 2.0 TDCi 163 Zetec Business Edition 5d","Diesel",21795,4,NA,"Front",NA,NA,0,NA,NA,NA,4882,1886,1500,"optional","standard","no/optional","optional","no","no","standard","no","no","standard","standard","standard","standard",7,"USA"
"Ford","S-MAX","S-Max 2.0 203 Ecoboost Titanium 2010 5d","Petrol",25615,4,1999,"Front",203,221,8.2,137,34,1676,4768,1884,1658,"standard","standard","standard","standard","standard","standard","standard","no","optional","standard","standard","optional","standard",8,"USA"
"Honda","Accord","Accord 2.2 i-DTEC ES GT 5d Tourer","Diesel",26640,4,2199,NA,150,258,9.8,128,51,1598,4750,1840,1470,"no","standard","standard","optional","standard","standard","standard","no","no","no","standard","no","standard",5,"Asia"
"Honda","Civic","Civic 2.2 i-DTEC ES 5d","Diesel",21495,4,2199,"Front",150,258,8.5,135,67,1367,4300,1770,1470,"standard","standard","standard","no","standard","standard","standard","no","no","no","standard","optional","standard",6,"Asia"
"Honda","CR-V","CR-V 2.2 i-DTEC 4WD SE 5d","Diesel",26105,4,2199,"4WD",150,258,9.7,118,50,1653,4570,1820,1685,"standard","standard","standard","optional","standard","standard","standard","no","no","standard","standard","optional","standard",5,"Asia"
"Honda","CR-Z","CR-Z 1.5 hybrid 137 GT 3d","Petrol",23050,4,1497,"Front",137,140,9.5,124,54,NA,4075,1740,1395,"standard","standard","no/optional","no","standard","standard","standard","no","standard","standard","standard","optional","standard",7,"Asia"
"Honda","Insight","Insight 1.3 hybrid HS 5d","Petrol",20335,4,1339,"Front",98,123,12.5,113,65,1243,4395,1695,1435,"standard","standard","no/optional","standard","optional","standard","standard","no","no","standard","standard","optional","standard",4,"Asia"
"Honda","Jazz","Jazz 1.4 i-VTEC ES-T 2012 5d","Petrol",14745,4,1339,"Front",98,94,11.8,113,50,1112,3900,1695,1525,"no","standard","standard","optional","standard","standard","no","no","no","no","standard","standard","standard",6,"Asia"
"Hyundai","i10","i10 1.0 66 Blue Drive SE 5d","Petrol",9595,3,998,"Front",66,69,15.1,96,65,933,3665,1660,1500,"no","no","no/optional","no","no","standard","no","no","no","no","standard","no","standard",7,"Asia"
"Hyundai","i20","i20 1.4 Active 5d","Petrol",12095,4,1396,"Front",99,101,12.9,106,54,1156,3995,1710,1490,"no","standard","no/optional","optional","standard","no","no","no","no","no","standard","no","standard",5,"Asia"
"Hyundai","i30","i30 1.4 CRDi 90 Active 5d","Petrol",17245,4,1396,"Front",89,162,13.5,106,68,1401,4300,1780,1470,"no","standard","no/optional","no","standard","no","standard","no","optional","standard","standard","no","standard",5,"Asia"
"Hyundai","i40","i40 1.7 CRDi 136 Style 4d","Diesel",20995,4,1685,"Front",136,240,10.6,124,55,1601,4740,1815,1470,"no","standard","no/optional","optional","standard","standard","standard","no","no","standard","standard","standard","standard",7,"Asia"
"Hyundai","i800","i800 2.5 CRDi","Diesel",21155,4,2497,"Front",168,289,14.5,112,33,2270,5125,1920,1925,"no","no","standard","no","no","no","no","no","optional","standard","standard","optional","standard",4,"Asia"
"Hyundai","ix20","ix20 1.4 CRDi 90 Active 5d","Diesel",14445,4,1396,"Front",89,162,14.5,104,65,1268,4100,1765,1600,"no","standard","standard","no","standard","no","no","no","no","standard","standard","optional","standard",4,"Asia"
"Hyundai","ix35","ix35 2.0 CRDi 136 4WD Style 5d","Diesel",20650,4,1995,"4WD",134,236,10.2,112,49,1679,4410,1820,1660,"no","standard","standard","no","standard","no","no","no","no","standard","standard","no","standard",5,"Asia"
"Hyundai","Santa Fe","Santa Fe 2.2 CRDi 4WD Style 5d 7st","Diesel",28095,4,2199,"4WD",197,311,9.8,118,46,NA,4690,1820,1865,"no","standard","standard","optional","standard","no","no","no","no","standard","standard","no","standard",7,"Asia"
"Hyundai","Veloster","Veloster 1.6 GDI Sport 4d","Petrol",20495,4,1591,"Front",138,123,9.7,125,43,1236,4220,1790,1399,"no","standard","standard","optional","standard","standard","standard","no","standard","standard","standard","optional","standard",7,"Asia"
"Infiniti","EX","EX37 3.7 V6 GT 5d","Petrol",41930,6,3696,"4WD",320,265,6.4,149,25,1876,4635,1800,1600,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Asia"
"Infiniti","FX","FX37 3.7 V6 Premium 5d","Petrol",51200,6,3696,"4WD",320,265,6.8,149,23,2012,4865,1925,1680,"standard","standard","standard","standard","standard","standard","standard","no","no","standard","standard","standard","standard",6,"Asia"
